NodeID, Q1, Q2, P1, P2, DeltaQ, DeltaP, MinOp Violated, Count, No1 Src initial %, No1 Src final %, BACKUP Src initial %, BACKUP Src final %, Chk Initial Src Impact Total %, Chk Final Src Impact Total %
CD_395_IP,-2.232,-5.232,57.32051,57.18112,3,0.1393967,False,0,100,100,0,0,100,100
CD_396_IP,-1.08,-4.08,57.14557,56.64918,3,0.4963913,False,0,100,99.99998,0,0,100,99.99998
CD_397_IP,-2.736,-5.736,57.06428,56.92545,3,0.1388321,False,0,100,100,0,0,100,100
CD_415_IP,-2.448,-5.448,57.17319,57.03362,3,0.139576,False,0,100,99.99998,0,0,100,99.99998
CD_414_IP,-2.664,-5.664,56.96205,56.76125,3,0.200798,False,0,100,100,0,0,100,100
CD_398_IP,-1.896,-4.896,56.85432,56.6449,3,0.2094269,False,0,100,100,0,0,100,100
CD_399_IP,-1.8,-4.8,56.74794,56.03719,3,0.710743,False,0,100,99.99998,0,0,100,99.99998
CD_406_IP,-1.464,-4.464,56.80744,56.68396,3,0.1234741,False,0,100,99.99998,0,0,100,99.99998
CD_402_IP,-2.208,-5.208,56.74975,56.5817,3,0.1680527,False,0,100,100,0,0,100,100
CD_401_IP,-0.576,-3.576,56.74471,56.45786,3,0.2868538,False,0,100,100,0,0,100,100
CD_403_IP,-0.864,-3.864,56.79961,56.6237,3,0.1759109,False,0,100,99.99998,0,0,100,99.99998
CD_404_IP,-1.032,-4.032,56.84045,56.71387,3,0.1265869,False,0,100,99.99999,0,0,100,99.99999
CD_405_IP,-0.288,-3.288,56.79852,56.54812,3,0.2504044,False,0,100,99.99998,0,0,100,99.99998
CD_407_IP,0,-3,56.80743,56.64082,3,0.1666031,False,0,0,100,0,0,0,100
CD_410_IP,-1.776,-4.776,56.78022,56.60418,3,0.1760368,False,0,100,99.99998,0,0,100,99.99998
CD_411_IP,0,-3,56.78011,56.5648,3,0.2153015,False,0,0,100,0,0,0,100
CD_412_IP,-1.584,-4.584,57.1232,56.5014,3,0.6217995,False,0,100,100,0,0,100,100
CD_413_IP,-0.816,-3.816,57.132,56.4472,3,0.6847992,False,0,100,100,0,0,100,100
CD_429_IP,0,-3,512.7349,512.6293,3,0.1055298,False,0,100,100,0,0,100,100
CD_445_IP,-30.77297,-33.6306,112.6963,112.6012,0.3694038,0.09514618,False,0,100,99.99999,0,0,100,99.99999
CD_431_IP,0,-3,116.7296,116.6856,3,0.04398346,False,0,100,100,0,0,100,100
CD_430_HP,0,-3,125,125,3,0,False,0,100,100,0,0,100,100
CD_432_IP,-9.425,-12.425,74.36523,74.34032,3,0.0249176,False,0,99.99999,100,0,0,99.99999,100
CD_433_IP,-27.93,-30.93,74.31761,74.29017,3,0.02744293,False,0,99.99999,100,0,0,99.99999,100
CD_434_IP,-19.6,-22.6,74.29282,74.26362,3,0.02920532,False,0,99.99999,100,0,0,99.99999,100
CD_435_IP,-5.685,-8.685,74.27767,74.24706,3,0.03060913,False,0,99.99999,100,0,0,99.99999,100
CD_436_IP,-8.49,-11.49,74.26172,74.22949,2.999999,0.03222656,False,0,99.99999,100,0,0,99.99999,100
CD_437_IP,-15.99,-18.99,74.19985,74.16026,3.000001,0.03958893,False,0,99.99999,100,0,0,99.99999,100
CD_438_IP,-33,-36,74.19006,74.14874,3,0.04131317,False,0,99.99999,100,0,0,99.99999,100
CD_439_IP,0,-3,74.66629,74.65617,3,0.01012421,False,0,100,100,0,0,100,100
CD_440_IP,-75,-78,73.83701,73.76054,3,0.07646942,False,0,100,100,0,0,100,100
CD_443_IP,0,-3,116.6238,116.5766,3,0.04721832,False,0,100,100,0,0,100,100
CD_444_IP,0,-3,75,75,3,0,False,0,100,100,0,0,100,100
